,event_timestamp,trade_sign,side,lob_action,order_executed,execution_price,execution_size,ask,bid,midprice,ask_volume,bid_volume,price_changing,midprice_change,R1,norm_trade_volume
595,08:43.1,1,ASK,UPDATE,TRUE,218.25,100,218.25,218.05,218.15,200,100,FALSE,0,0,0.815044079
596,08:43.1,1,ASK,REMOVE,TRUE,218.25,100,218.25,218.05,218.15,100,100,TRUE,-0.015,-0.015,0.815044079
597,08:56.1,1,ASK,REMOVE,TRUE,218.22,10,218.22,218.05,218.135,10,300,TRUE,0.055,0.055,0.081504408
598,09:04.4,-1,BID,REMOVE,TRUE,218.13,25,218.25,218.13,218.19,200,25,TRUE,-0.025,0.025,0.134815713
599,09:17.0,-1,BID,REMOVE,TRUE,218.08,1,218.25,218.08,218.165,200,1,TRUE,-0.015,0.015,0.005392629
600,09:20.2,-1,BID,REMOVE,TRUE,218.05,300,218.25,218.05,218.15,200,100,FALSE,0,0,1.61778856
601,09:20.2,-1,BID,REMOVE,TRUE,218.05,100,218.25,218.05,218.15,200,100,TRUE,-0.005,0.005,0.539262853
602,09:20.2,-1,BID,REMOVE,TRUE,218.04,100,218.25,218.04,218.145,200,202,FALSE,-0.01,0.01,0.539262853
603,09:20.2,-1,BID,REMOVE,TRUE,218.04,102,218.23,218.04,218.135,100,102,TRUE,-0.005,0.005,0.550048111
604,09:20.2,-1,BID,REMOVE,TRUE,218.03,8,218.23,218.03,218.13,100,8,TRUE,-0.015,0.015,0.043141028
605,09:20.3,-1,BID,UPDATE,TRUE,218.01,79,218.22,218.01,218.115,100,200,FALSE,0,0,0.426017654
606,09:20.3,-1,BID,REMOVE,TRUE,218.01,121,218.22,218.01,218.115,100,121,TRUE,-0.045,0.045,0.652508053
607,09:20.3,-1,BID,REMOVE,TRUE,218,300,218.14,218,218.07,100,300,TRUE,-0.05,0.05,1.61778856
608,09:20.3,-1,BID,REMOVE,TRUE,217.91,100,218.13,217.91,218.02,200,100,TRUE,-0.085,0.085,0.539262853
609,09:28.4,1,ASK,REMOVE,TRUE,217.96,100,217.96,217.91,217.935,100,200,TRUE,0.055,0.055,0.815044079
610,10:15.9,-1,BID,UPDATE,TRUE,217.91,11,218.07,217.91,217.99,100,100,FALSE,0,0,0.059318914
611,10:15.9,-1,BID,UPDATE,TRUE,217.91,50,218.07,217.91,217.99,100,89,FALSE,-0.005,0.005,0.269631427
612,10:15.9,-1,BID,UPDATE,TRUE,217.9,98,218.07,217.9,217.985,100,39,FALSE,0,0,0.528477596
613,10:15.9,-1,BID,UPDATE,TRUE,217.9,63,218.07,217.9,217.985,100,141,FALSE,0,0,0.339735598
614,10:15.9,-1,BID,UPDATE,TRUE,217.9,5,218.07,217.9,217.985,100,78,FALSE,0,0,0.026963143
615,10:15.9,-1,BID,UPDATE,TRUE,217.9,11,218.07,217.9,217.985,100,73,FALSE,-0.155,0.155,0.059318914
616,10:17.6,1,ASK,REMOVE,TRUE,217.85,60,217.85,217.81,217.83,60,100,TRUE,0.09,0.09,0.489026447
